Amplitude	Phase	GeneSet
WBGene00003525	2.93837920506217	211.738380404492	GeneSet_180
WBGene00007067	0.737551612856718	274.98036498802	GeneSet_270
WBGene00000024	1.21588248868353	285.86118928843	GeneSet_270
WBGene00007071	0.914603426943511	55.296946087094	GeneSet_90
WBGene00007072	0.801365215389135	259.078986841455	GeneSet_270
WBGene00007073	1.79591807380881	347.195051461358	GeneSet_0
WBGene00000797	1.19958957326954	321.409788920388	GeneSet_0
WBGene00000138	1.36274960902206	317.015308042586	GeneSet_0
WBGene00000722	4.00702374731967	80.323794599356	GeneSet_90
WBGene00007103	0.675149607852316	46.9653139795259	GeneSet_90
WBGene00007104	0.52609497536604	6.21981627380399	GeneSet_0
WBGene00000723	2.31162297266492	307.643208588872	GeneSet_270
WBGene00007097	2.65513472110748	339.327798625899	GeneSet_0
WBGene00015002	2.8908017154534	322.240918821018	GeneSet_0
WBGene00015004	0.82976397985072	331.494495715005	GeneSet_0
WBGene00044394	0.825776525910035	140.17973386198	GeneSet_180
WBGene00007112	0.508262465662201	124.998575025561	GeneSet_90
WBGene00044644	1.74491029106693	329.974803514534	GeneSet_0
WBGene00015019	2.53744085446529	102.696059857721	GeneSet_90
WBGene00015035	1.34272401773299	209.361359349002	GeneSet_180
WBGene00044111	0.996339145557596	202.622991701213	GeneSet_180
WBGene00015043	0.748882895987263	304.437431529107	GeneSet_270
WBGene00015044	0.897430677165077	182.910166632262	GeneSet_180
WBGene00015046	1.90844365532321	293.941958619639	GeneSet_270
WBGene00003765	2.75681919031958	14.110854449956	GeneSet_0
WBGene00003766	1.85202182309902	19.77772519759	GeneSet_0
WBGene00003767	1.5485839266131	348.602176654879	GeneSet_0
WBGene00003768	0.896339996415974	256.140099114752	GeneSet_270
WBGene00015047	1.03773285948556	28.556159318944	GeneSet_0
WBGene00015048	1.05000065219641	274.070307106308	GeneSet_270
WBGene00015049	0.594696481241202	352.94551899079	GeneSet_0
